# Experience : Resolution P et sa relaxation LP 
# Solver     : Xpress 
# Maxtime    : 2 heures 

#      M    N          OPT         TIME        LPOPT       LPTIME 
      5  100      1698.000        0.014     1697.727        0.010 
      5  200      3235.000        0.017     3234.739        0.009 
     20  200      2339.000        0.054     2337.327        0.033 
      5  100      1843.000        0.150     1831.329        0.012 
     20  200      2339.000        0.177     2331.138        0.023 
      5  100      1931.000        0.075     1923.975        0.012 
     20  400      4782.000      140.901     4774.150        0.045 

# Experience : Resolution P et sa relaxation LP 
# Solver     : cplex 
# Maxtime    : 2 heures 

#      M    N          OPT         TIME        LPOPT       LPTIME 
      5  100      1698.000        0.034     1697.727        0.002 
      5  200      3235.000        0.029     3234.739        0.003 
     20  200      2339.000        0.103     2337.327        0.028 
      5  100      1843.000        0.684     1831.329        0.002 
     20  200      2339.000        0.701     2331.138        0.015 
      5  100      1931.000        0.413     1923.975        0.003 
     20  400      4782.000       99.901     4774.150        0.030 

# Experience : Resolution P et sa relaxation LP 
# Solver     : gurobi 
# Maxtime    : 2 heures 

#      M    N          OPT         TIME        LPOPT       LPTIME 
      5  100      1698.000        0.010     1697.727        0.003 
      5  200      3235.000        0.015     3234.739        0.002 
     20  200      2339.000        0.041     2337.327        0.004 
      5  100      1843.000        0.300     1831.329        0.002 
     20  200      2339.000        0.500     2331.138        0.004 
      5  100      1931.000        0.244     1923.975        0.002 
     20  400      4782.000      114.617     4774.150        0.010 

